file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_104132.json,structured,67,67,0,1,1
context_104132.json,root_preamble,1,1,0,1,1
context_104167.json,structured,27,27,0,1,1
context_104167.json,root_preamble,1,1,0,1,1
context_10426.json,structured,14,14,0,1,1
context_10426.json,root_preamble,1,1,0,1,1
context_104271.json,structured,15,15,0,1,1
context_104271.json,root_preamble,1,1,0,1,1
context_104273.json,structured,4,4,0,1,1
context_104273.json,root_preamble,1,1,0,1,1
context_104320.json,structured,5,5,0,1,1
context_104320.json,root_preamble,1,1,0,1,1
context_104321.json,structured,85,85,0,1,1
context_104321.json,root_preamble,1,1,0,1,1
context_104343.json,structured,37,37,0,1,1
context_104343.json,root_preamble,1,1,0,1,1
context_104353.json,structured,5,5,0,1,1
context_104353.json,root_preamble,1,1,0,1,1
context_104374.json,structured,79,79,0,1,1
context_104374.json,root_preamble,1,1,0,1,1
context_104402.json,structured,36,36,0,1,1
context_104402.json,root_preamble,1,1,0,1,1
context_104458.json,structured,9,9,0,1,1
context_104458.json,root_preamble,1,1,0,1,1
context_104500.json,structured,17,17,0,1,1
context_104500.json,root_preamble,1,1,0,1,1
context_104589.json,structured,18,18,0,1,1
context_104589.json,root_preamble,1,1,0,1,1
context_104639.json,structured,34,34,0,1,1
context_104639.json,root_preamble,1,1,0,1,1
context_104660.json,structured,35,35,0,1,1
context_104660.json,root_preamble,1,1,0,1,1
context_104671.json,structured,8,8,0,1,1
context_104671.json,root_preamble,1,1,0,1,1
context_104714.json,structured,5,5,0,1,1
context_104714.json,root_preamble,1,1,0,1,1
context_104718.json,structured,49,49,0,1,1
context_104718.json,root_preamble,1,1,0,1,1
context_104781.json,structured,7,7,0,1,1
context_104781.json,root_preamble,1,1,0,1,1
context_104807.json,structured,7,7,0,1,1
context_104807.json,root_preamble,1,1,0,1,1
context_104857.json,structured,5,5,0,1,1
context_104857.json,root_preamble,1,1,0,1,1
context_104863.json,structured,47,47,0,1,1
context_104863.json,root_preamble,1,1,0,1,1
context_104903.json,structured,18,18,0,1,1
context_104903.json,root_preamble,1,1,0,1,1
context_104973.json,structured,12,12,0,1,1
context_104973.json,root_preamble,1,1,0,1,1
context_10498.json,structured,2,2,0,1,1
context_10498.json,root_preamble,1,1,0,1,1
context_105044.json,structured,7,7,0,1,1
context_105044.json,root_preamble,1,1,0,1,1
context_105050.json,structured,6,6,0,1,1
context_105050.json,root_preamble,1,1,0,1,1
context_105059.json,structured,29,29,0,1,1
context_105059.json,root_preamble,1,1,0,1,1
context_10507.json,structured,39,39,0,1,1
context_10507.json,root_preamble,1,1,0,1,1
context_105078.json,structured,20,20,0,1,1
context_105078.json,root_preamble,1,1,0,1,1
